;Time;Thrust;BEM pressure;N2O pressure
0;0.0;16914;0;3038
1;0.007849693298339844;16806;1;3029
2;0.015080451965332031;16839;0;3029
3;0.022301912307739258;16881;1;3023
4;0.029522418975830078;16928;1;3025
5;0.036745548248291016;16913;1;3025
6;0.04396939277648926;16923;1;3022
7;0.05118870735168457;16945;0;3028
8;0.05842733383178711;16922;1;3031
9;0.06564879417419434;17152;1;3034
10;0.07295417785644531;16956;1;3026
11;0.08017206192016602;16961;1;3053
12;0.08739495277404785;16998;1;3025
13;0.09461355209350586;17007;0;3027
14;0.10184669494628906;16973;0;3031
15;0.10906386375427246;16975;1;3021
16;0.11627984046936035;16968;1;3031
17;0.12349772453308105;16949;1;3039
18;0.13071370124816895;16945;0;3034
19;0.13792824745178223;16957;0;3029
20;0.14514589309692383;16929;1;3011
21;0.15236449241638184;16949;1;3022
22;0.15958046913146973;16958;1;3028
23;0.16679763793945312;16963;1;3020
24;0.17401742935180664;16931;0;3032
25;0.18123435974121094;16914;1;3016
26;0.18847179412841797;16908;1;3030
27;0.19568991661071777;16904;0;3048
28;0.2029094696044922;16914;0;3031
29;0.21012568473815918;16906;0;3027
30;0.21734333038330078;16941;0;3042
31;0.2245640754699707;16915;0;3020
32;0.2317812442779541;16933;1;3025
33;0.238999605178833;16931;0;3033
34;0.24621796607971191;16921;0;3033
35;0.2534370422363281;16919;-1;3036
36;0.26065754890441895;16926;0;3024
37;0.26787614822387695;16941;0;3025
38;0.27509355545043945;16930;1;3025
39;0.28231120109558105;16958;0;3024
40;0.2905571460723877;16929;0;3033
41;0.2977867126464844;16952;0;3028
42;0.30500054359436035;16928;0;3026
43;0.31221437454223633;16919;1;3033
44;0.3194282054901123;16929;1;3039
45;0.32666850090026855;16914;0;3039
46;0.33388662338256836;16919;0;3036
47;0.34110021591186523;16914;0;3027
48;0.3483140468597412;16928;0;3037
49;0.3555288314819336;16937;0;3026
50;0.36274242401123047;16923;0;3015
51;0.36995673179626465;16944;1;3025
52;0.37717413902282715;16915;0;3010
53;0.38439011573791504;16915;1;3027
54;0.3916056156158447;16934;0;3025
55;0.3988194465637207;16931;0;3030
56;0.4060492515563965;16937;1;3022
57;0.41326332092285156;16935;0;3024
58;0.42047858238220215;16918;1;3021
59;0.42769575119018555;16915;0;3031
60;0.43491268157958984;16937;0;3030
61;0.44213104248046875;16940;0;3029
62;0.44934558868408203;16942;-1;3026
63;0.4565622806549072;16923;0;3027
64;0.4637761116027832;16927;0;3025
65;0.470989465713501;16907;0;3043
66;0.47820568084716797;16903;0;3041
67;0.48542165756225586;16934;0;3019
68;0.49263572692871094;16920;1;3035
69;0.49985241889953613;16921;0;2998
70;0.5070674419403076;16921;1;3035
71;0.5142834186553955;16911;1;3036
72;0.5215015411376953;16899;0;3023
73;0.5287156105041504;16919;1;3019
74;0.5359296798706055;16910;1;3017
75;0.543147087097168;16902;0;3019
76;0.5503628253936768;16894;1;3035
77;0.5575809478759766;16889;1;3018
78;0.5647974014282227;16876;1;3025
79;0.5720138549804688;16881;0;3013
80;0.5792317390441895;16899;0;3022
81;0.5864474773406982;16864;0;3038
82;0.5957679748535156;16863;0;3008
83;0.6054346561431885;16865;0;3036
84;0.615060567855835;16883;1;3029
85;0.6246933937072754;16857;1;3016
