3311.69;22.90;22.95;23.22;20.04;19.76;20.15;18.94;18.94;18.94;18.94;90.00;92.00;0.00;1.00;1.00;1.00
3311.84;22.90;22.95;23.22;20.04;19.76;20.20;18.94;18.94;18.94;18.94;90.00;91.00;0.00;1.00;1.00;1.00
3311.98;22.95;23.06;23.22;20.09;19.76;19.93;18.94;18.94;18.94;18.94;90.00;91.00;0.00;1.00;1.00;1.00
3312.13;22.95;23.06;23.33;20.04;19.71;20.15;18.94;18.94;18.94;18.94;90.00;91.00;0.00;1.00;1.00;1.00
3312.27;22.90;23.06;23.33;20.04;19.76;20.15;18.94;18.94;19.00;18.94;90.00;92.00;0.00;1.00;1.00;1.00
3312.41;22.90;22.95;23.33;20.15;19.76;20.09;18.94;18.94;18.94;18.94;90.00;92.00;0.00;1.00;1.00;1.00
3312.56;22.90;22.95;23.22;20.09;19.82;20.20;18.94;18.94;18.94;18.94;90.00;91.00;0.00;1.00;1.00;1.00
3312.70;22.95;23.11;23.22;20.09;19.76;20.15;18.94;18.94;18.94;18.94;90.00;91.00;0.00;1.00;1.00;1.00
3312.84;22.90;23.06;23.33;20.09;19.76;19.93;18.94;18.94;18.94;18.94;90.00;92.00;0.00;1.00;1.00;1.00
3312.99;22.90;23.01;23.33;20.15;19.76;20.04;18.94;18.94;18.94;18.94;90.00;92.00;0.00;1.00;1.00;1.00
3313.13;22.90;23.01;23.38;20.09;19.76;20.04;18.94;18.94;18.94;18.94;90.00;92.00;0.00;1.00;1.00;1.00
3313.28;22.90;22.95;23.27;20.09;19.76;20.15;18.94;18.94;18.94;18.94;88.00;91.00;0.00;1.00;1.00;1.00
3313.42;22.95;23.06;23.27;20.09;19.76;20.04;18.94;18.94;18.94;18.94;90.00;91.00;0.00;1.00;1.00;1.00
3313.56;22.95;23.06;23.27;20.09;19.76;20.15;18.94;18.94;18.94;18.94;92.00;92.00;0.00;1.00;1.00;1.00
