Waga rybacka [kg];pressure_tank
0.05730104446411133;-1.738;0.608
1.0210614204406738;-1.731;-0.481
1.8462672233581543;-1.728;0.072
2.7091357707977295;-1.722;0.091
3.5548510551452637;-1.737;0.282
4.432178258895874;-1.737;0.636
5.252673387527466;-1.729;0.533
6.088008642196655;-1.725;0.087
6.938122034072876;-1.726;-0.549
7.8339691162109375;-1.74;0.087
8.749229907989502;-1.731;0.632
9.555754899978638;-1.734;-0.461
10.507841348648071;-1.737;0.64
11.340202569961548;-1.74;0.072
12.18986439704895;-1.741;0.163
13.060935497283936;-1.726;0.083
13.93540620803833;-1.731;-0.493
