;0;32767;1;0
0;0.007964372634887695;32767;1;0
1;0.015294551849365234;32767;0;0
2;0.022594213485717773;32767;0;0
3;0.029902219772338867;32767;0;0
4;0.03718972206115723;32767;1;0
5;0.044478416442871094;32767;0;0
6;0.051766157150268555;32767;0;1
7;0.059059858322143555;32767;0;0
8;0.06634807586669922;32767;0;0
9;0.07365036010742188;32767;0;0
10;0.08093619346618652;32767;1;0
11;0.08822798728942871;32767;1;0
12;0.09552812576293945;32767;0;0
13;0.10281562805175781;32767;0;1
14;0.11010336875915527;32767;1;0
15;0.11738848686218262;32767;0;0
16;0.12470269203186035;32767;0;0
17;0.1319894790649414;32767;0;0
18;0.13930106163024902;32767;0;0
19;0.1465914249420166;32767;0;0
20;0.15387773513793945;32767;1;1
21;0.16116905212402344;32767;0;0
22;0.16846108436584473;32767;1;0
23;0.1757504940032959;32767;0;0
24;0.18303942680358887;32767;0;1
25;0.1903369426727295;32767;1;0
26;0.19762349128723145;32767;1;0
27;0.20491456985473633;32767;1;1
28;0.21243596076965332;32767;0;0
29;0.22211480140686035;32767;0;1
30;0.2294621467590332;32767;1;1
31;0.2367539405822754;32767;1;0
32;0.24403095245361328;32767;0;1
33;0.2513086795806885;32767;0;-1
34;0.25858473777770996;32767;0;0
35;0.26587557792663574;32767;0;0
36;0.2731587886810303;32767;0;1
37;0.28043317794799805;32767;0;1
38;0.2877051830291748;32767;1;0
39;0.2949798107147217;32767;2;1
40;0.302304744720459;32767;0;1
41;0.3095827102661133;32767;0;0
42;0.31685638427734375;32767;1;1
43;0.32414817810058594;32767;1;1
44;0.3314368724822998;32767;0;1
45;0.3387277126312256;32767;0;0
46;0.34601855278015137;32767;-1;-1
47;0.35331296920776367;32767;0;0
48;0.36060547828674316;32767;1;0
49;0.36789512634277344;32767;1;0
50;0.3751826286315918;32767;0;0
51;0.38247251510620117;32767;1;0
52;0.38979268074035645;32767;0;0
53;0.3970832824707031;32767;0;0
54;0.4043753147125244;32767;1;0
55;0.4116823673248291;32767;1;1
56;0.41896963119506836;32767;0;0
57;0.4262540340423584;32767;0;0
58;0.4335496425628662;32767;0;0
59;0.44083738327026367;32767;0;0
60;0.44812536239624023;32767;1;0
61;0.4554142951965332;32767;0;0
62;0.46271347999572754;32767;0;1
63;0.4700140953063965;32767;1;0
64;0.47730278968811035;32767;1;0
65;0.4845924377441406;32767;0;0
66;0.4918811321258545;32767;1;1
67;0.49916839599609375;32767;0;1
68;0.5064640045166016;32767;0;-1
69;0.5137567520141602;32767;0;1
70;0.5210437774658203;32767;0;0
71;0.5283317565917969;32767;0;0
72;0.5356302261352539;32767;0;1
73;0.5429196357727051;32767;0;0
74;0.5502057075500488;32767;0;0
75;0.557492733001709;32767;1;0
76;0.5647845268249512;32767;0;-1
77;0.5720829963684082;32767;0;0
78;0.5793731212615967;32767;0;1
79;0.5866608619689941;32767;0;1
80;0.5939507484436035;32767;0;-1
81;0.6012406349182129;32767;0;1
82;0.6085283756256104;32767;0;0
83;0.6158156394958496;32767;0;0
84;0.6231033802032471;32767;1;-1
85;0.632012128829956;32767;1;0
86;0.6415879726409912;32767;1;0
87;0.6511592864990234;32767;0;0
88;0.6607303619384766;32767;1;1
89;0.6703448295593262;32767;0;1
